
Symbol table '.symtab' contains 1292 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
    71: 00000000004e7100     0 OBJECT  LOCAL  DEFAULT   12 runtime.noptrbss
    72: 00000000004ec260     0 OBJECT  LOCAL  DEFAULT   12 runtime.enoptrbss
    73: 00000000004ec260     0 OBJECT  LOCAL  DEFAULT   12 runtime.end
    74: 00000000004b4798     0 OBJECT  LOCAL  DEFAULT    7 runtime.epclntab
    75: 0000000000478ab8     0 OBJECT  LOCAL  DEFAULT    6 runtime.esymtab
    76: 0000000000477735   147 OBJECT  LOCAL  DEFAULT    2 runtime.gcdata
    77: 00000000004777c8     0 OBJECT  LOCAL  DEFAULT    2 runtime.egcdata
    78: 0000000000476fe0  1877 OBJECT  LOCAL  DEFAULT    2 runtime.gcbss
    79: 0000000000477735     0 OBJECT  LOCAL  DEFAULT    2 runtime.egcbss
    80: 0000000000461990     0 OBJECT  LOCAL  DEFAULT    2 go.string.*
    81: 0000000000466d9b     0 OBJECT  LOCAL  DEFAULT    2 go.func.*
    82: 0000000000476ee0     0 OBJECT  LOCAL  DEFAULT    2 runtime.gcbits.*
    83: 0000000000478ab8     0 OBJECT  LOCAL  DEFAULT    6 runtime.symtab
    84: 0000000000401000    89 FUNC    GLOBAL DEFAULT    1 internal/cpu.Ini[...]
    85: 0000000000401060  1367 FUNC    GLOBAL DEFAULT    1 internal/cpu.pro[...]
    86: 00000000004015c0  1176 FUNC    GLOBAL DEFAULT    1 internal/cpu.doinit
    87: 0000000000401a60    27 FUNC    GLOBAL DEFAULT    1 internal/cpu.cpu[...]
    88: 0000000000401a80    17 FUNC    GLOBAL DEFAULT    1 internal/cpu.xge[...]
    89: 0000000000401aa0   135 FUNC    GLOBAL DEFAULT    1 type..eq.interna[...]
    90: 0000000000401b40   244 FUNC    GLOBAL DEFAULT    1 type..eq.[15]int[...]
    91: 0000000000401c40   110 FUNC    GLOBAL DEFAULT    1 runtime/internal[...]
    92: 0000000000401cc0    67 FUNC    GLOBAL DEFAULT    1 type..eq.interna[...]
    93: 0000000000401d20    34 FUNC    GLOBAL DEFAULT    1 internal/bytealg[...]
    94: 0000000000401fa0    14 FUNC    GLOBAL DEFAULT    1 runtime.cmpstring
    95: 0000000000402100    27 FUNC    GLOBAL DEFAULT    1 runtime.memequal
    96: 0000000000402120    28 FUNC    GLOBAL DEFAULT    1 runtime.memequal[...]
    97: 0000000000402260    24 FUNC    GLOBAL DEFAULT    1 internal/bytealg[...]
    98: 0000000000402280    92 FUNC    GLOBAL DEFAULT    1 runtime/internal[...]
    99: 00000000004022e0    67 FUNC    GLOBAL DEFAULT    1 runtime.memhash128
   100: 0000000000402340     6 FUNC    GLOBAL DEFAULT    1 runtime.memequal0
   101: 0000000000402360     9 FUNC    GLOBAL DEFAULT    1 runtime.memequal8
   102: 0000000000402380    10 FUNC    GLOBAL DEFAULT    1 runtime.memequal16
   103: 00000000004023a0     8 FUNC    GLOBAL DEFAULT    1 runtime.memequal32
   104: 00000000004023c0    10 FUNC    GLOBAL DEFAULT    1 runtime.memequal64
   105: 00000000004023e0    26 FUNC    GLOBAL DEFAULT    1 runtime.memequal128
   106: 0000000000402400    22 FUNC    GLOBAL DEFAULT    1 runtime.f32equal
   107: 0000000000402420    23 FUNC    GLOBAL DEFAULT    1 runtime.f64equal
   108: 0000000000402440    55 FUNC    GLOBAL DEFAULT    1 runtime.c64equal
   109: 0000000000402480    57 FUNC    GLOBAL DEFAULT    1 runtime.c128equal
   110: 00000000004024c0    87 FUNC    GLOBAL DEFAULT    1 runtime.strequal
   111: 0000000000402520    89 FUNC    GLOBAL DEFAULT    1 runtime.interequal
   112: 0000000000402580    89 FUNC    GLOBAL DEFAULT    1 runtime.nilinterequal
   113: 00000000004025e0   197 FUNC    GLOBAL DEFAULT    1 runtime.efaceeq
   114: 00000000004026c0   197 FUNC    GLOBAL DEFAULT    1 runtime.ifaceeq
   115: 00000000004027a0   165 FUNC    GLOBAL DEFAULT    1 runtime.alginit
   116: 0000000000402860    92 FUNC    GLOBAL DEFAULT    1 runtime.atomicwb
   117: 00000000004028c0    61 FUNC    GLOBAL DEFAULT    1 runtime.atomicstorep
   118: 0000000000402900   235 FUNC    GLOBAL DEFAULT    1 runtime.mmap
   119: 0000000000402a00   122 FUNC    GLOBAL DEFAULT    1 runtime.mmap.func1
   120: 0000000000402a80   180 FUNC    GLOBAL DEFAULT    1 runtime.munmap
   121: 0000000000402b40    72 FUNC    GLOBAL DEFAULT    1 runtime.munmap.func1
   122: 0000000000402ba0   342 FUNC    GLOBAL DEFAULT    1 runtime.sigaction
   123: 0000000000402d00   104 FUNC    GLOBAL DEFAULT    1 runtime.sigactio[...]
   124: 0000000000402d80   230 FUNC    GLOBAL DEFAULT    1 runtime.cgocall
   125: 0000000000402e80   193 FUNC    GLOBAL DEFAULT    1 runtime.cgoIsGoP[...]
